"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.536862994E0,-2.708132267E-1,-3.598051071E-1,7.574844360E-2,4.566588941E-1
1.544828082E0,-3.534854054E-1,-2.772755623E-1,-6.211757660E-2,4.535330888E-1
1.552854205E0,-3.006126285E-1,-2.334232330E-1,-2.165727615E-1,4.379019515E-1
1.560849810E0,-2.553919554E-1,-2.392868996E-1,-2.923612595E-1,4.560245358E-1
1.568845416E0,-2.077152729E-1,-2.721829414E-1,-2.565879822E-1,4.278628061E-1
1.576841021E0,-1.974153519E-1,-3.100380898E-1,-1.382331848E-1,3.926892558E-1
1.584836626E0,-2.647736669E-1,-3.787322044E-1,4.091930389E-2,4.639154737E-1
1.592862750E0,-2.384253144E-1,-2.781939507E-1,2.845897675E-1,4.639287019E-1
1.600827837E0,-1.631058455E-1,-2.375621796E-1,5.843896866E-1,6.515754843E-1
1.608853960E0,-3.412601948E-1,-2.799820900E-1,6.740789413E-1,8.057486645E-1
1.616819048E0,-3.593866825E-1,-2.566161156E-1,7.282018661E-1,8.516387592E-1
1.624814654E0,-2.142610550E-1,-3.523573875E-1,8.526954651E-1,9.471816533E-1
1.632810259E0,3.762602806E-3,-2.917795181E-1,1.178725243E0,1.214307474E0
1.640805865E0,3.269217014E-1,8.397006989E-2,1.449643135E0,1.488419964E0
1.648740435E0,5.422999859E-1,5.727729797E-1,1.319331169E0,1.537137891E0
1.656766558E0,5.160788894E-1,7.798113823E-1,9.949016571E-1,1.365383653E0
1.664762164E0,2.807414234E-1,7.552680969E-1,4.428949356E-1,9.194572143E-1
1.672727251E0,1.807214022E-1,6.762914658E-1,-2.425327301E-1,7.408457984E-1
1.680753375E0,1.920805573E-1,5.037937164E-1,-6.204977036E-1,8.220221708E-1
1.688718462E0,1.581618786E-1,2.516179085E-1,-5.904693604E-1,6.610452460E-1
1.696714068E0,-8.195769787E-2,3.174209595E-2,-4.125776291E-1,4.218351869E-1
1.704679156E0,-1.266765594E-1,-1.943078041E-1,2.113037109E-1,3.137701893E-1
1.712705279E0,-2.617111802E-1,-4.373121262E-1,9.670763016E-1,1.093147387E0
1.720670367E0,-2.237302661E-1,-7.248215675E-1,1.966819763E0,2.108032618E0
1.728604937E0,-2.636551261E-1,-9.930713177E-1,2.631590843E0,2.825061952E0
1.736631060E0,-1.336218119E-1,-1.241273403E0,3.070918083E0,3.314989038E0
1.744596148E0,4.400920868E-2,-1.381519079E0,3.293459892E0,3.571751649E0
1.752622271E0,1.405896246E-1,-1.469860077E0,3.391777039E0,3.699243918E0
1.760556841E0,1.063418686E-1,-1.531947136E0,3.278535843E0,3.620354664E0
1.768582964E0,2.021099329E-1,-1.524764538E0,2.912222862E0,3.293447634E0
1.776578570E0,2.978640795E-1,-1.378237009E0,2.361351967E0,2.750316959E0
1.784604693E0,3.922535181E-1,-1.199457169E0,1.706452370E0,2.122390165E0
1.792600298E0,3.958117068E-1,-1.054947376E0,9.415683746E-1,1.468377294E0
1.800565386E0,3.777502775E-1,-8.814284801E-1,1.753559113E-1,9.748646744E-1
1.808591509E0,3.000063300E-1,-7.108488083E-1,-5.891170502E-1,9.707567796E-1
1.816587115E0,1.379513144E-1,-5.912857056E-1,-1.303691864E0,1.438145273E0
1.824582720E0,-1.048919559E-2,-4.548161030E-1,-1.727465153E0,1.786366022E0
1.832517291E0,-1.304566860E-1,-4.349677563E-1,-1.922896385E0,1.975790071E0
1.840543414E0,-2.079358101E-1,-4.385430813E-1,-1.925949097E0,1.986161438E0
1.848539019E0,-2.142893374E-1,-4.407713413E-1,-1.779948711E0,1.846189782E0
1.856504107E0,-2.299267948E-1,-4.229056835E-1,-1.592527866E0,1.663688839E0
1.864499712E0,-2.768311203E-1,-4.794342518E-1,-1.274612904E0,1.389651296E0
1.872464800E0,-3.196054399E-1,-5.679695606E-1,-9.981503487E-1,1.192074317E0
1.880429888E0,-3.931799829E-1,-6.508922577E-1,-8.513479233E-1,1.141509753E0
1.888456011E0,-4.552497566E-1,-7.013101578E-1,-8.560600281E-1,1.196631543E0
1.896451617E0,-5.105410218E-1,-7.898631096E-1,-8.835606575E-1,1.290432215E0
1.904447222E0,-4.917783141E-1,-9.334471226E-1,-9.396910667E-1,1.412865437E0
1.912412310E0,-4.212943316E-1,-1.146534443E0,-9.896454811E-1,1.572077708E0
1.920438433E0,-1.932700872E-1,-1.426264048E0,-9.366626740E-1,1.717241807E0
1.928403521E0,5.438312888E-2,-1.638238430E0,-5.748348236E-1,1.737014034E0
1.936399126E0,2.289688736E-1,-1.744400978E0,-6.078243256E-2,1.760413594E0
1.944364214E0,3.008600175E-1,-1.815877676E0,4.507226944E-1,1.895014362E0
1.952390337E0,3.898044229E-1,-1.861111164E0,9.288549423E-1,2.116235752E0
1.960385943E0,5.977385044E-1,-1.900876045E0,1.347666740E0,2.405582404E0
1.968320513E0,8.008143306E-1,-1.896109581E0,1.437595367E0,2.510620556E0
1.976346636E0,1.055930853E0,-1.846143246E0,1.075972557E0,2.383474731E0
1.984342242E0,1.274749517E0,-1.705931187E0,5.852203369E-1,2.208544858E0
1.992307330E0,1.355989695E0,-1.533617735E0,1.224088669E-1,2.050774327E0
2.000333453E0,1.296363950E0,-1.343654633E0,-3.269681931E-1,1.895488185E0
2.008298541E0,1.270056248E0,-1.157638311E0,-6.009817123E-1,1.820535183E0
2.016324664E0,1.244398594E0,-1.032448769E0,-7.403526306E-1,1.778370135E0
2.024289751E0,1.158314824E0,-9.269959927E-1,-8.027582169E-1,1.686841889E0
2.032315875E0,9.915747046E-1,-8.758256435E-1,-7.734470367E-1,1.532485325E0
2.040280962E0,9.081067443E-1,-8.927607536E-1,-6.642818451E-1,1.436297320E0
2.048307085E0,8.569438457E-1,-8.636829853E-1,-5.882081985E-1,1.351402952E0
2.056272173E0,8.984612226E-1,-7.835445404E-1,-6.490221024E-1,1.357351946E0
2.064267779E0,9.306035042E-1,-7.278373241E-1,-7.796897888E-1,1.415516238E0
2.072263384E0,9.230043888E-1,-6.904847622E-1,-9.455394745E-1,1.490889401E0
2.080228472E0,8.740234375E-1,-6.553025246E-1,-1.099417210E0,1.549856951E0
2.088254595E0,7.766597271E-1,-6.258215904E-1,-1.158031940E0,1.528362185E0
2.096219683E0,6.834333539E-1,-5.413680077E-1,-1.176777840E0,1.464570433E0
